,nome,cpf,idade,data,enderco,estado,pais
0,Pedro Lucas Castro,490.173.652-34,42,04/12/82,"Avenida de Pimenta, 335
Nossa Senhora Aparecida
66323397 Brito / RS",Roraima,Brasil
1,Srta. Sofia Ramos,937.601.542-80,28,20/10/96,"Vereda de Alves, 42
Cidade Nova
28769658 Rezende da Serra / SC",Pernambuco,Brasil
2,Dr. Vitor Gabriel Mendes,256.974.183-37,27,16/02/98,"Aeroporto Felipe Guerra, 26
Custodinha
16976-316 Brito / SE",Rio Grande do Norte,Brasil
3,Lunna Vargas,430.958.627-92,33,04/10/91,"Trevo de Cassiano, 1
Vila Independencia 1ª Seção
46049494 Câmara de da Cunha / BA",Mato Grosso do Sul,Brasil
4,Vitória Silveira,148.632.059-70,54,19/03/71,"Trecho de da Cunha, 954
Ambrosina
09454821 Costela / PR",Bahia,Brasil
5,Diego Ferreira,153.628.740-71,60,29/03/65,"Lago Ana Lívia Vieira, 31
Paraíso
05990-177 Sales do Campo / RJ",Rondônia,Brasil
6,Joaquim da Conceição,172.069.435-43,30,30/06/94,"Chácara Marcos Vinicius Jesus, 98
Santa Tereza
61943-751 Carvalho de Cunha / ES",Roraima,Brasil
7,Dr. João Felipe Castro,468.291.735-82,57,01/03/68,"Praia Murilo Jesus, 27
Brasil Industrial
83120063 Oliveira / BA",Rio Grande do Sul,Brasil
8,Mariah Pimenta,957.081.263-02,43,09/06/81,"Lago de Duarte, 3
Vila Jardim Alvorada
27948-650 Pereira da Mata / PI",Minas Gerais,Brasil
9,Lorenzo Nascimento,037.296.548-29,36,19/09/88,"Rodovia Giovanna Cavalcante, 26
Delta
02388-855 Pacheco de Lopes / RS",Alagoas,Brasil
